slide_id,site,annotatable,annotatable_rank,n_fovs,mean,median,range,stdev,mad,iqr,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p100,frac_density_ge_monolayer,frac_density_ge_slightly_dense,frac_density_ge_dense,frac_density_ge_very_dense,frac_rouleaux_ge_slight_rouleaux,frac_rouleaux_ge_some_rouleaux,frac_rouleaux_ge_rouleaux,frac_rouleaux_ge_heavy_rouleaux,top95_mean,top90_mean,top85_mean,top80_mean,top75_mean,top70_mean,top65_mean,top60_mean,top55_mean,top50_mean,top45_mean,top40_mean,top35_mean,top30_mean,top25_mean,top20_mean,top15_mean,top10_mean,top5_mean
KIT-62501104,KIT,hard,1,324,0.585958,0.605437,0.84486,0.164665,0.108097,0.222638,0.312625,0.354117,0.378911,0.427585,0.474252,0.508225,0.535136,0.565075,0.589952,0.605437,0.631431,0.648391,0.66659,0.681717,0.696891,0.717512,0.745016,0.76909,0.846949,0.959692,0.614198,0.046296,0.0,0.0,0.092593,0.006173,0.0,0.0,0.603616,0.618491,0.634143,0.648544,0.661544,0.673647,0.685186,0.697046,0.707636,0.718436,0.729135,0.740105,0.752251,0.765057,0.780116,0.797673,0.819693,0.85265,0.900443
KIT-62501107,KIT,hard,1,324,0.779487,0.80233,0.636345,0.128801,0.085982,0.178007,0.538344,0.608303,0.642656,0.66997,0.694968,0.717644,0.739425,0.763754,0.778654,0.80233,0.816561,0.833288,0.846944,0.858585,0.872975,0.889993,0.906719,0.927524,0.956569,1.059185,0.938272,0.450617,0.0,0.0,0.453704,0.04321,0.0,0.0,0.795436,0.807317,0.818597,0.828603,0.838319,0.847693,0.85672,0.865934,0.874481,0.882921,0.890921,0.899129,0.908005,0.917052,0.927014,0.938385,0.951685,0.96902,0.992734
KIT-62501111,KIT,can spot annotate,2,324,0.614356,0.611163,0.47796,0.100095,0.079731,0.162664,0.4653,0.478149,0.491929,0.514647,0.533718,0.548353,0.566522,0.586481,0.601843,0.611163,0.630124,0.648964,0.66258,0.678652,0.696381,0.710297,0.728321,0.744861,0.772683,0.870142,0.709877,0.006173,0.0,0.0,0.018519,0.0,0.0,0.0,0.623471,0.631818,0.640922,0.649475,0.657498,0.665721,0.6739,0.682515,0.690499,0.698813,0.707507,0.715996,0.724998,0.734078,0.743544,0.753757,0.764684,0.778767,0.800564
KIT-62501112,KIT,can spot annotate,2,324,0.33818,0.307243,0.697652,0.147574,0.102305,0.223416,0.148629,0.168235,0.186511,0.205663,0.220487,0.23426,0.250132,0.269799,0.289126,0.307243,0.325369,0.359917,0.390111,0.412592,0.443902,0.469806,0.508414,0.559383,0.608938,0.787267,0.098765,0.0,0.0,0.0,0.003086,0.0,0.0,0.0,0.349341,0.359824,0.371212,0.381978,0.393209,0.404786,0.417214,0.431024,0.444611,0.459246,0.474734,0.491289,0.508929,0.526636,0.545999,0.568533,0.593774,0.625886,0.66398
KIT-62501113,KIT,annotatable,4,324,0.323748,0.302949,0.7946,0.176328,0.129864,0.261226,0.074945,0.116526,0.129717,0.159984,0.186755,0.204126,0.222456,0.248015,0.285983,0.302949,0.327487,0.35453,0.38319,0.418067,0.447981,0.475199,0.520388,0.551058,0.657679,0.814001,0.098765,0.0,0.0,0.0,0.006173,0.0,0.0,0.0,0.337587,0.350755,0.364805,0.378624,0.392226,0.406158,0.42086,0.437077,0.452788,0.468429,0.485036,0.50311,0.523628,0.543773,0.565494,0.591089,0.622917,0.669577,0.721091
KIT-62501288,KIT,annotatable,4,324,0.218352,0.202672,0.78636,0.164109,0.116861,0.234032,0.0,0.0,0.018778,0.058659,0.085477,0.113391,0.138135,0.158311,0.183697,0.202672,0.224001,0.242045,0.275122,0.301401,0.319509,0.359129,0.40222,0.453819,0.522343,0.78636,0.040123,0.0,0.0,0.0,0.003086,0.0,0.0,0.0,0.229695,0.242281,0.257212,0.270265,0.283175,0.296197,0.309293,0.323495,0.337368,0.351707,0.366794,0.383479,0.402694,0.421523,0.443801,0.469952,0.499711,0.53829,0.583963
KTR-72502701,KTR,annotatable (hard),3,324,0.392874,0.414679,0.758949,0.131299,0.090286,0.189807,0.15868,0.195693,0.246023,0.285142,0.310284,0.335775,0.351819,0.377839,0.401426,0.414679,0.428992,0.444533,0.463264,0.481796,0.500091,0.509732,0.522642,0.538262,0.564074,0.758949,0.108025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408631,0.421374,0.434129,0.444242,0.453887,0.463081,0.472067,0.481621,0.489714,0.497713,0.505795,0.514384,0.523464,0.531694,0.539839,0.548313,0.559118,0.574047,0.599014
KTR-72502705,KTR,annotatable,4,324,0.882584,0.890692,0.728224,0.145933,0.100415,0.198251,0.64261,0.6866,0.721595,0.754049,0.782403,0.805173,0.839675,0.859107,0.875961,0.890692,0.90354,0.920419,0.937224,0.9509,0.980654,1.014328,1.035751,1.067783,1.123665,1.229888,0.996914,0.648148,0.074074,0.0,0.728395,0.305556,0.015432,0.0,0.898513,0.911338,0.924226,0.935554,0.946584,0.957421,0.967909,0.978253,0.988042,0.998488,1.009567,1.021709,1.035693,1.050681,1.066551,1.084107,1.103316,1.13162,1.161194
KTR-72502708,KTR,hard,1,324,0.59034,0.54063,1.354523,0.273308,0.170892,0.34162,0.197472,0.257853,0.325512,0.365606,0.411547,0.454532,0.479746,0.501577,0.522564,0.54063,0.570069,0.59717,0.631202,0.704652,0.753167,0.838821,0.891151,0.982422,1.090539,1.354523,0.509259,0.175926,0.040123,0.0,0.243827,0.138889,0.033951,0.0,0.614977,0.63624,0.65757,0.676643,0.695845,0.714352,0.733654,0.754953,0.776861,0.801117,0.828259,0.85842,0.895533,0.933775,0.973572,1.017113,1.066966,1.131618,1.21434
KTR-72502717,KTR,annotatable,4,324,0.803488,0.803771,0.914424,0.180012,0.123837,0.250667,0.506435,0.5547,0.604781,0.630054,0.673574,0.713722,0.739391,0.763831,0.785604,0.803771,0.824958,0.845363,0.870858,0.899005,0.924241,0.959707,1.004484,1.04603,1.083794,1.289297,0.916667,0.435185,0.033951,0.0,0.527778,0.212963,0.030864,0.0,0.821295,0.837234,0.853149,0.867553,0.881772,0.894961,0.907848,0.921448,0.934683,0.948546,0.963334,0.979168,0.997034,1.01488,1.035217,1.057792,1.084133,1.113007,1.163303
