slide_id,source,metric,model_version,n_fovs_on_slide,baseline_mean,baseline_std,baseline_median,baseline_mad,flags,no_data_reason
KIT-62500927,annotation_bucket,n_spots_detected,,324,194.731,58.384,190.0,58.5627,,
KIT-62500932,annotation_bucket,n_spots_detected,,324,221.787,49.582,219.0,44.478,,
KIT-62501031,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,157.704,43.502,152.0,44.478,,
KIT-62501034,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,274.318,62.237,269.0,66.717,,
KIT-62501035,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,173.312,262.263,149.0,45.2193,,
KIT-62501038,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,125.028,40.801,120.0,40.0302,,
KIT-62501040,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,184.302,216.121,172.0,56.3388,,
KIT-62501041,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,216.568,95.607,201.5,53.3736,,
KIT-62501042,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,186.972,94.131,169.5,57.0801,,
KIT-62501043,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,145.407,235.074,116.5,48.1845,,
KIT-62501047,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,114.747,43.725,107.0,34.8411,,
KIT-62501048,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,212.275,87.781,202.0,50.4084,,
KIT-62501049,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,182.407,68.93,175.5,54.8562,,
KIT-62501050,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,155.71,52.142,152.5,57.8214,,
KIT-62501052,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,188.617,61.782,194.0,69.6822,,
KIT-62501053,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,414.685,142.728,418.0,136.3992,,
KIT-62501054,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,200.812,67.471,205.5,63.7518,,
KIT-62501056,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,106.191,40.16,98.0,37.065,,
KIT-62501057,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,151.006,46.554,148.0,45.9606,,
KIT-62501058,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,105.84,42.621,98.0,31.1346,,
KIT-62501059,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,137.972,79.53,129.0,39.2889,,
KIT-62501062,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,151.472,82.913,129.0,77.0952,,
KIT-62501067,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,101.855,60.887,91.0,48.9258,,
KIT-62501069,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,104.364,95.675,94.5,28.1694,,
KIT-62501070,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,104.42,468.785,57.5,31.1346,mean_median_divergence,
KIT-62501072,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,124.469,52.051,116.5,40.7715,,
KIT-62501075,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,113.315,54.027,99.5,45.2193,,
KIT-62501077,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,88.66,34.891,80.5,31.1346,,
KIT-62501081,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,95.586,172.801,74.5,43.7367,mean_median_divergence,
KIT-62501083,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,135.068,51.485,131.0,38.5476,,
KIT-62501087,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,92.003,540.212,40.0,22.239,mean_median_divergence,
KIT-62501089,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,86.849,52.337,71.0,37.065,,
KIT-62501090,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,123.552,77.336,114.0,37.8063,,
KIT-62501093,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,176.306,105.49,162.0,77.0952,,
KIT-62501095,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,105.176,51.041,98.0,50.4084,,
KIT-62501100,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,90.846,73.567,72.0,26.6868,mean_median_divergence,
KIT-62501104,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,60.935,34.94,56.5,25.9455,,
KIT-62501107,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,84.256,55.563,74.0,31.1346,,
KIT-62501111,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,154.003,63.521,138.5,55.5975,,
KIT-62501112,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,127.346,51.369,122.0,37.065,,
KIT-62501113,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,80.997,46.794,72.0,31.1346,,
KIT-62501288,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,232.105,138.597,203.0,75.6126,,
KTR-72502701,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,68.917,48.634,57.0,23.7216,,
KTR-72502705,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,88.796,40.786,82.5,31.8759,,
KTR-72502708,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,80.688,32.348,73.0,26.6868,,
KTR-72502717,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,89.58,545.336,48.0,23.7216,mean_median_divergence,
KTR-72502720,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,81.241,33.351,79.0,31.1346,,
KTR-72502722,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,124.019,45.053,121.5,40.7715,,
KTR-72502723,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,88.802,109.537,76.5,43.7367,,
KTR-72502725,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,124.475,49.529,116.0,48.9258,,
KTR-72502734,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,117.13,44.836,112.5,39.2889,,
KTR-72502740,annotation_bucket,n_spots_detected,,324,132.321,59.796,119.5,52.6323,,
KTR-72502749,annotation_bucket,n_spots_detected,,324,111.105,48.09,102.0,40.0302,,
KTR-72502764,annotation_bucket,n_spots_detected,,324,110.049,55.615,98.0,47.4432,,
KTR-72502891,annotation_bucket,n_spots_detected,,324,110.821,38.773,107.0,38.5476,,
KTR-72502895,annotation_bucket,n_spots_detected,,324,102.071,65.514,84.0,44.478,,
KTR-72502907,annotation_bucket,n_spots_detected,,324,153.435,68.705,142.0,67.4583,,
KTR-72502931,annotation_bucket,n_spots_detected,,324,109.849,55.558,115.0,50.4084,,
KTR-72502934,annotation_bucket,n_spots_detected,,324,94.185,96.322,87.0,26.6868,,
KTR-72502935,annotation_bucket,n_spots_detected,,324,144.235,73.273,124.0,57.0801,,
KTR-72502937,annotation_bucket,n_spots_detected,,324,98.978,42.057,95.0,42.9954,,
KTR-72502942,annotation_bucket,n_spots_detected,,324,130.429,47.669,127.0,50.4084,,
KTR-72502943,annotation_bucket,n_spots_detected,,324,138.63,42.325,131.0,36.3237,,
KTR-72502944,annotation_bucket,n_spots_detected,,324,116.966,75.522,109.0,71.9061,,
KTR-72502947,annotation_bucket,n_spots_detected,,324,110.861,38.003,105.0,34.0998,,
KTR-72502948,annotation_bucket,n_spots_detected,,324,114.346,30.775,112.0,32.6172,,
KTR-72502949,annotation_bucket,n_spots_detected,,324,131.364,43.241,127.5,40.7715,,
KTR-72502954,annotation_bucket,n_spots_detected,,324,78.222,27.501,73.0,25.2042,,
KTR-72502955,annotation_bucket,n_spots_detected,,324,71.778,27.628,69.0,25.2042,,
KTR-72502960,annotation_bucket,n_spots_detected,,324,89.938,33.195,85.0,29.652,,
KTR-72502963,annotation_bucket,n_spots_detected,,324,117.537,62.138,112.0,35.5824,,
NKR-72502127,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,81.302,67.668,66.5,27.4281,,
